Concept Index,Concept Name,Description,Human Label,Machine Label
1,robot bagger,robot bagger that can efficiently bag grocery items,Robot,grocery;bag
2,durable grocery bag,made out of very strong material ,Grocery Bags,grocery;bag
3,temp control bag,grocery bag with adjustable temperature control to keep food at certain temp,Grocery Bags,grocery;bag
4,ez shopping cart,smaller and easy to maneuver shopping cart,Shopping Cart Device,cart;shopping
5,advanced shopping cart ,show where employees are and allow you to talk to them directly,Shopping Cart Device,cart;shopping
6,zero wait time register,display wait time at each register on screen,Shopping Cart Device,food;scanner
7,blink h2o,water bottle that connects to app to track progress,Staying hydrated,bottle;water
8,automatic water boiler ,water boiler that automatically refills from tap ,Home appliance,bottle;water
9,budget shopping cart,screen attached to cart that tracks the prices of items put into cart,Shopping Cart Device,cart;shopping
10,advanced shopping cart ,shows location of store items,Shopping Cart Device,cart;shopping
11,title scanner,people can scan the title of packed food to know how much energy in it and help them to calculate the calorie,Wearable device,food;scanner
12,food camera,can analyze the contain of a meal and calculate the calorie,Wearable device,food;scanner
13,exercise monitor,people can see how much fat they have burnt through exercie,Wearable device,people;monitor
14,exercise advisor,people can get help through the device when they doing exercise,Wearable device,people;function
15,taser reminder,for people who make up their mind to improve their health condition but are weak in self control force them to get fitexercise or diet ,Wearable device,people;function
16,online after  sale service,this function is connected to taser reminder it can let people stop the force program ,Wearable device,people;function
17,water drinking monitor,help people drink enough water during a day,Staying hydrated,people;monitor
18,heart rate monitor,scan the heart rate to help people overexercised,Wearable device,people;monitor
19,eating  shopping advisor,give suggestions base on the data collected from peoples daily lives to help them keep fit,Apps (shopping),suggestions;fit
20,well designed,the product should have not only the powerful functions but also the fashionable appearance,Wearable device,well designed
21,cookie keeper,a device that guards sweets and junk food and does not allow user to access it unless they have been keeping up with their nutrition goals would link to a phone app,Home appliance,app;food
22,quick meals ,app that keep inventory of the users food and suggests meals based on time and inventory,Apps (shopping),app;food
23,freezer buddy,robot that keeps inventory of food in the freezer and defrosts food accordingly,Robot,robot;food
24,scanner,wearable that scans food and estimates nutritional value by comparing to food in database,wearable device,food;scanner
25,wearable camera,item would record your actions throughout the day and automatically logs your food intake and calculated nutrition for you,wearable device,food;scanner
26,robo prepcook,robot that prepares food for user to cook ie cuts vegetables and measures ingredients,Robot,robot;food
27,personal shopper,user inputs the dishes they want to cook and the robot shops for necessary ingredients and delivers them to user,Robot,robot;food
28,deli pro,robot that makes sandwiches for users that dont have time to cook ,Robot,robot;food
29,food checker,robot that checks food in fridge ie vegetables left overs dairy etc and determines whether to keep or throw out,Robot,robot;food
30,caffeine pal,device that makes a warm beverage for you based on the time of day and how much you got for example if its late at night the device would make you a soothing tea if its first thing in the morning after a rough night it may make you a double shot latte learns users likes and dislikes,Home appliance,food;scanner
31,automatic shopping cart,a screen on shopping cart that can connect with app and help the efficiency of picking up what to buy,Shopping Cart Device,cart;shopping
32,electronic shopping cart,a shopping cart where we can place and plug our phones,Shopping Cart Device,cart;shopping
33,health sensor,a sensor that can put in mouth and monitor our vitamin and calcium intake,Home appliance,intake;muscle
34,disease predictor,a watch that can detect our disease and symptom by monitoring our physiology,Wearable device,intake;muscle
35,dining out app,an app that connect with gps and can record what we eat  and give us healthier suggestion based on what we have eaten,Apps(Dining),date;app
36,recipe app,an app that teach people how to cook and buy food ingredients in the nearest stores efficiently,Apps(Dining),app;food
37,restaurant app,an app that compares price and quality of different restaurants and gives users profitable recommendation,Apps(Dining),app;food
38,blood sugar monitor,wearable blood sugar monitor for diabetic people,Wearable device,people;monitor
39,sleep quality monitoring clock,an alarm clock that can monitor sleep quality and wake up users when they are not in deep sleep,Home appliance,intake;muscle
40,electronic cabinet,a cabinet that can record expiration date of every food and record users to eat them before the food spoils,Home appliance,date;app
41,fever cap,cap that measures body temp and acts as a coolingheat pad,Wearable Device,bottle;water
42,item grabber,robot that helps you retrieve items from high places,Robot,robot;food
43,cookie keeper vers 2.0,voice activation is implemented ,Home appliance,bottle;water
44,shopping bot,a shopping cart in the form of a bot that follows you around in store and holds your items,Shopping Cart Device,cart;shopping
45,expireno cutting board,a cutting board that detects spoiled food that is placed on top of it,Home appliance,bottle;water
46,cooking advisor,give suggestions on what type of food to choose in order to keep fit and how to cook them,Apps(Dining),suggestions;fit
47,intelligent bottle sleeve,can scan the water quality whats the composition of the water temperature etc,Apps(Dining),bottle;water
48,weighable cutting board,a cutting board that can weigh the substance on it,Home appliance,bottle;water
49,wake up bed,a bed which will be rough in the morning that can wake up people,Home appliance,people;monitor
50,menstruation recording app,an app that can help women to record their period and remind them two days before next period comes so they can stock up on supplies,App (Health),date;app
51,electric cart,electric grocery cart that activates when the cart gets too heavy,Shopping Cart Device,cart;shopping
52,robocart,cart that unloads groceries into the car for user,Shopping Cart Device,cart;shopping
53,fridge sensor,scans items put into refrigerator and keeps track of how much is left example alerts user if pickles are low,Home appliance,bottle;water
54,dehydration bracelet,monitors users hydration level and beeps or vibrates to let user know to drink,Wearable Device,food;scanner
55,nutrition patch,wearable patch that connects to an app to notify user which aspects of their diet are lacking ,Wearable Device,app;food
56,fatigue monitor,a watch that can remind users to go to sleep when they are over fatigue to decrease the rate of sudden death,Wearable Device,intake;muscle
57,hot compress device,a electric sticker that can stick on skin to make hot compress easier and prevent scald,Wearable Device,bottle;water
58,massage robot,a robot that can find our acupoint and give us more comfortable massage,Robot,robot;food
59,body fat monitor,a necklace that can monitor and record our body fat and muscle content,Wearable Device,intake;muscle
