Concept Index,Concept Name,Description,Human Label,Machine Label
1,no steering wheel control,instead of using steering wheel  user will use screen to control car ,ALTERNATIVE CONTROL,car;control
2,mobile phone application for self driving,control you car on a mobile phone app,ALTERNATIVE CONTROL,car;control
3,voice system,control your car with a voice interface like siri ,ALTERNATIVE CONTROL,car;control
4,gps self driving ,advanced gps navigation system,ALTERNATIVE CONTROL,system;vehicle
5,self charging ,car navigate itself to charging station assume it is a electric car,ALTERNATIVE CONTROL,car;driver
6,nearby car interaction ,detect and connect nearby car,CAR-TO-CAR CONNECTIVITY,car;driver
7,sleeping inside car,user can sleep inside a moving car ,COMFORT,car;driver
8,undisturbed sensor ,sensors can be used in any weather condition,NAVIGATION,pedals;bed
9,machine learning  on car navigation ,applied machine learning algorithm to train the navigation system of car ,NAVIGATION,car;system
10,self parking,selfparking,PARKING,self parking
11,hand written commands,inputs can be done through hand writing with a stylus can be used to draw the preferred path,ALTERNATIVE CONTROL,pedals;bed
12,mouse and keyboard controls,mousekeyboard like control system for easy uses input and possible system development usage,ALTERNATIVE CONTROL,control;vehicle
13,wireless vehicular piggybacking,wireless signal can piggyback off of other autonomous vehicles in areas where data connectivity is limited like in tunnels or underground car parks,CAR-TO-CAR CONNECTIVITY,vehicle;car
14,autonomous connectivity display,program that can display on the ui which vehicles near you are autonomously or manually operated provide information on which vehicles are connected to the car you are riding in,CAR-TO-CAR CONNECTIVITY,display;screen
15,automatic entry exit,vehicle uses active suspension and doors to allow for ease of entry and exit such as lowering the car for entry and exit deploying a ramp or seats that swivel out,ENTRY & EXIT,vehicle;car
16,automatic luggage collection,system that can automatically pick up luggage and place it into the trunk,ENTRY & EXIT,system;people
17,exterior lighting signal,lights outside the vehicle that show its status ie occupied connected available manually controlled etc,EXTERNAL SIGNAL,vehicle;car
18,reclining seats rood display,seats that recline paired with a roof mounted display that can display entertainment or system information,LEISURE & ENTERTAINMENT,display;screen
19,entrance exit path finding,include entrances and exits to buildings in the systems pathfinding so it can pick people up at the door,NAVIGATION,system;people
20,interior panoramic display,large panoramic display that runs along the interior they can used to show instructions and warnings,SCREEN & DISPLAYS,display;screen
21,extra control system,when emergencies occur people can use extra control system to control the car and protect themselves from bad accident people will feel safe if they can control cars ,ALTERNATIVE CONTROL,car;control
22,wifi system,wifi system provide people with chance to surf the internet more flexible and they can use this system to communicate with other cars,CAR-TO-CAR CONNECTIVITY,system;people
23,sync information system,through this system vehicles are able to collect road information like traffic accident parking space and etc and sync information to computer and cloud to help to optimize route ,CLOUD TECHNOLOGY,system;vehicle
24,sofa chair,sofa chair is able to become a bed when people want to sleep in the car and the angle of seats can be controlled well,COMFORT,car;people
25,communication system,people can chat with their family members while they are on the road via the vehicles communication system and thus they will feel safe and relaxed,IN-CAR COMMUNICATION,system;people
