Concept Index,Concept Name,Description,Human Label,Machine Label
1,integrated wall speaker system,speaker package that is built into the walls and ceilings,Ergonomics,walls;homes
2,collapsible stairway,stairway collapses to save space,Ergonomics,space;furniture
3,hide away dining set,dining table folds away to save space,Ergonomics,space;furniture
4,hd wall projector,wall projector drops down from ceiling and eliminates need for tv,Ergonomics,system;floor
5,outlet rail system,outlets can slide along the wall to provide easy access,Ergonomics,system;floor
6,fingerprint locks,much more secure than traditional locks,Security,system;floor
7,transition windows,provide privacy and reduce cooling costs,Sustainability,cost;privacy
8,living roof,can grow your own food and is good for the environment,Sustainability,system;floor
9,shower filtration system,reuse water from the shower for other uses,Sustainability,system;floor
10,alfred the assistant  app,app provides control over everything in the home as well as offering packages when selecting your home,Ergonomics,power;generator
11,custom template homes,homes are built as a template for different user groups,Ergonomics,walls;homes
12,circular apartment homes,apartments tat fit more people in a smaller space,Mobility,space;furniture
13,greenhouse,house with solar panels and walls that are wind turbines,Sustainability,walls;homes
14,clay hut,made with cheap materials,Sustainability,materials;glasses
15,hut 1,made with really cheap materials,Sustainability,materials;glasses
16,modular house,units bind together depending on the needs of the user,Mobility,house;home
17,hydroelectric house,runs on hydroelectric power from nearby river,Sustainability,house;home
18,safe house,prioritizes safety including fence and guard also has renewable energy ,Security,house;home
19,stilt home,house on stilts with stairs that retract for safety,Security,house;home
20,outward slanting walls,high ceilings and slanted walls make house appear larger and provide room for solar panels,Ergonomics,walls;homes
21,shower steam generator,turbine generates power from hot shower steam,Sustainability,power;generator
22,communal utility rooms,community kitchen or laundry room ,Ergonomics,walls;homes
23,automatically lowering curtains,adjust in response to the sun to provide privacy and less need for cooling,Ergonomics,cost;privacy
24,under floor storage,floorboards lift up to provide more storage options,Ergonomics,system;floor
25,solar tiles,use teslas solar tiles,Sustainability,solar tiles
26,chameleon walls,change color to user desire or to match environment,Ergonomics,walls;homes
27,3d printed houses,made of cheap materials customizable,Manufacturability,materials;glasses
28,retina scanner locks,provide extra security,Security,system;floor
29,floating communities,houses are put on ships that can travel around the world,Mobility,walls;homes
30,air drop homes,pre built homes are equipped with parachutes so they can be dropped anywhere,Mobility,walls;homes
31,community vegetable garden,vegetables are grown an eaten ,Sustainability/Health,owners;fruit
32,community fish farm,fish are raised and eaten,Sustainability/Health,owners;fruit
33,exercise bike to electricity,generate electricity by working out,Sustainability/Health,cost;privacy
34,communal sport courts  gym,exercise,Health,cost;privacy
35,communal storage lockers,can rent out space if you need extra storage,Ergonomics,space;furniture
36,health monitor,detects if person is having health problems and calls responders,Health,system;floor
37,motivation bed,bed detects when youre being lazy on your bed and gives an electric shock,Health,system;floor
38,fruit orchard,grow fruit to eat,Health/Sustainability,owners;fruit
39,beehive ,harvest bees for honey,Health/Sustainability,owners;fruit
40,hologram videocall,allows you to communicate with one another,Mobility,cost;privacy
41,window computer,window is touchscreen computer ,Ergonomics,window computer
42,optional air conditioning,if the house is designed to be customizable according to the user needs it would be optional to have air conditioning system installed,Customizability/Ergonomics,devices;items
43,fast wifi installed,it will be necessary to have wifi installed for internet access to be always available,Customizability/Ergonomics,devices;items
44,using inexpensive materials.,it would be beneficial to use inexpensive materials when manufacturing the house this would reduce the cost of manufacturing and allow for offering low prices,Ergonomics/Manufacturabiity,cost;privacy
45,low power consuming devices.,installing devices that consume low power will make the cost of power supply or electricity expenses less,Sustainability,power;generator
46,standardizing main features.,despite being customizable if we manage to standardize the main features of the house mass production will be more available which will lower the cost,Manufacturability,cost;privacy
47,multiple task items.,installing items that can have multiple tasks will eliminate the cost of multiple items for instance a sofa can be designed that it can be converted to be a bed,Ergonomics,devices;items
48,using sunlight.,we can make use of the surrounding environment to eliminate the need for some devices electric heaters for example can be replaced by using sunlight and concentration lenses,Sustainability,devices;items
49,using detachable items.,detachable items will allow for easy customizability users will be able to customize their homes by removing and adding items like furniture and devices according to their needs,Ergonomics/Mobility,devices;items
