Concept Index,Concept Name,Description,Human Label,Machine Label
1,movie social,this app enables students to find people to watch movies with,Social Camp,feature;students
2,beer pong buddy finder,this app enables students to find people to play beer pong,App Features,app;students
3,party finder,this app enables students to find on campus parties ,Social Camp,app;students
4,gym buddy finder,this app enables students to find a gym buddy to work out with,App Features,app;students
5,study buddy finder,this app enables students to find students to study,App Features,app;students
6,cards buddy finder,this app enables students to find students to play cards,App Features,app;students
7,music buddy finder ,this app enables students to find students to listen to music,App Features,app;students
8,dance buddy finder,this app enables students to find students to dance ,App Features,app;students
9,guitar buddy finder,this app enables students to find students to play guitar,Social Camp,app;students
10,band finder,this app enables students to find a band to join or create thir own,Hardware Devices,app;students
11,study groups smart wristband,this programmable bluetooth wristband provides a feedback system to locate study groups it is also a fashionable accessory,Hardware Devices,accessory;system
12,gym buddies smart wristband,this programmable bluetooth wristband provides a feedback system to locate gym buddies it is also a fashionable accessory,Hardware Devices,accessory;system
13,game locator smart wristband,this programmable bluetooth wristband provides a feedback system to locate games on campus it is also a fashionable accessory ,Hardware Devices,accessory;system
14,party locator smart wristband,this programmable bluetooth wristband provides a feedback system to locate campus parties it is also a fashionable accessory,Hardware Devices,accessory;system
15,movie buddy smart wristband,this programmable bluetooth wristband provides a feedback system to locate movies friends it is also a fashionable accessory,Hardware Devices,accessory;system
16,cards events smart wristband ,this programmable bluetooth wristband provides a feedback system to locate movies friends it is also a fashionable accessory,Hardware Devices,accessory;system
17,beer pong smart wristband,this programmable bluetooth wristband provides a feedback system to locate movies friends it is also a fashionable accessory,Hardware Devices,accessory;system
18,dance buddy smart wristband,this programmable bluetooth wristband provides a feedback system to locate movies friends it is also a fashionable accessory,Hardware Devices,accessory;system
19,music buddy smart wristband,this programmable bluetooth wristband provides a feedback system to listen to music it is also a fashionable accessory,Hardware Devices,accessory;system
20,guitar buddy smart wristband,this programmable bluetooth wristband provides a feedback system to find people to play guitar with it is also a fashionable accessory,Hardware Devices,accessory;system
21,band finder smart wristband,this programmable bluetooth wristband provides a feedback system to locate band on campus it is also a fashionable accessory,Hardware Devices,accessory;system
22,karaoke buddy finder,this app enables students to find students to go karaoke,Social Camp,app;students
23,karaoke smart wristband,this programmable bluetooth wristband provides a feedback system to locate karaoke events on campus it is also a fashionable accessory,Hardware Devices,accessory;system
24,hat buddy finder,this programmable bluetooth hat or beanie provides a feedback system and color changing leds to match to a hats color of a stranger so to get to know each other it is also a fashionable accessory,Hardware Devices,accessory;system
25,friending app,an app that lets students search for a friend,App Features,app;students
26,letter campaign,randomly assign an upperclassman to become a school advisor for a new lowerclassman in the same department for a year,Social Camp,feature;students
27,music chat,an app that everyone can post a piece of music that they like,App Features,app;students
28,polite chat,a social app just for serious students where profanity is a taboo,App Features,app;students
29,question post,a feature of an app that everyone can post questions questions are separated into different categories,App Features,app;students
30,encouraging chat,a social app when you are only allow to encourage someone,App Features,app;students
31,angry chat,a social app where you come to vent on someone,App Features,app;students
32,realistic page,a page where you can be insensitive as long as what you say its true,App Features,feature;students
33,rap chat,a chatting app where you have to send your voice message as a rap,App Features,app;students
34,sing chat,a chatting app to send your voice message as a song onlythe message must be sung,App Features,app;students
35,where to app,an app where people posts pictures of places theyve been to with a limited description of the pictures,App Features,app;students
36,joke page,an app where jokes are posted,App Features,app;students
37,healthy & yummy,an app feature where you post your food recipe and make the food to gether,App Features,app;students
38,draw group,an app where everyone draws together on the same picture,App Features,app;students
39,solution chat,an app that posts one world problem everyday everyone has to suggest a solution the person that gets the most like in the day a badge and accumulate over time,App Features,app;students
40,one friend campaign,everyone has to introduce someoneone of their friends to one person,Social Camp,people;everyone
41,idea chat,an app that lets people post new ideas the ideas that has the most point will be worked on in a group to form a friendship,App Features,app;students
42,longboard club,a club for longboard dancing,Social Camp,longboard club
43,one   ,one word one picture or one sound message social app,App Features,app;students
44,cool introvert,give out fiers that has the true definition of introvert,Social Camp,feature;students
45,introvert app,an online social app for introverts only,App Features,app;students
46,friending machine,a vending machine where you can rent a smart friend,Hardware Devices,accessory;system
47,same hair cut,having everyone in a group the same hair cut so they feel the sense of belonging,Social Camp,people;everyone
48,howling,an app feature enables a phone to howl when someone is looking for a friend,App Features,people;everyone
49,guessing app,an app that randomly selects someone to post a picture and the others has to guess what it is,App Features,app;students
50,smiling campaign,makes everyone smile until they starts feeling silly and talking to each other about how nonsense the campaign is,Social Camp,people;everyone
51,sport skill level feature,this feature helps athletes find opponents in the same skill level,App features,feature;students
52,color changing beanie,this beanie changes color when people with the same beanie passes by,Hardware Devices,passes;color
53,transportation feature,for non local events this helps faciliate car pooling,App features,feature;students
54,student narrower events feature,helps certain new students find immediate events specifically for them,App features,feature;students
55,miscellaneous option,for who knows what events are happening,App Features,people;everyone
56,ring bearing,this ring starts spinning when someone with the same ring passes by,Miscellaneous,passes;color
57,send a scent,app generates smells to send to one another,App Features,app;students
58,color changing nail polish,nail polish changes color when someone with the same nail polish passes by,Miscellaneous,passes;color
59,glowing shoes,these shoes glow different colors when someone with the same pair of shoes passes by,Hardware Devices,passes;color
60,headphone switch ,people listening to the same genre of music will have their songs sent to people walking by with the same headphones,Hardware Devices,people;everyone
61,buddy pager,this pager dings everytime someone else with a pager is in close proximity,Hardware Devices,people;everyone
62,glowing rings ,this ring glows a certain color when someone else with the same ring passes by,Hardware Devices,passes;color
63,color changing pen,this pen changes color when someone with the same pan passes by,Hardware Devices,passes;color
64,color changing dog collar,this dog collar changes color when you are walking your dog,Hardware Devices,passes;color
65,buzzing sweater,this sweater buzzes when someone with the same jacket passes by,Hardware Devices,passes;color
66,color changing hair,this hair dye changes color when someone with the same hairdye passes by,Miscellaneous,passes;color
67,participant feature,the more events you attend the more reviews you will get making you more popular,App Features,feature;students
68,miscellaneous event feature,based on obscure interests you can easily find a hangout group,App Features,feature;students
69,food grouping feature,asks what food youre in the mood for and gives reccomendations of where to go with the people who accepted invite,App Features,people;everyone
70,what to do feature,helps you decide what event to participate in by taking into account weather budget etc,App Features,feature;students
71,study group time decider feature,selects time and place based on everyone elses availabilities,App Features,feature;students
72,study buddy course finder feature,narrows down people to study with based on coursetopic selection,App Features,feature;students
73,student events finder,helps certain students find events specifically for them based on interests,App Features,feature;students
74,fireworks trail,these fireworks are attracted to one another so you find your firework and maybe a friend too,Miscellaneous,accessory;system
75,backpack trades,people can go and trade backpacks and things inside of them for conversation starters,Miscellaneous,people;everyone
76,dating app,making dating apps is one of the ways to make new generation go out with each other and helps them to be more sociable,App Features,feature;students
