Concept Index,Concept Name,Description,Human Label,Machine Label
1,sweat sleeve,material that wicks away sweat and uses it to measure vitaminhydration levels of the mother,Clothes,device;gui
2,movable electrodes,movable electrodes within spandex sleeve,Compact electrodes,sensor;electrodes
3,abdomen support,support for lower abdomen,External device,sensor;electrodes
4,x belt,xform factor to keep sensors in place,Belts,belt;sensors
5,instructable ,instructable on howwhere to place electrode patches,Others,sensor;electrodes
6,haptic feedback,haptic feedback for more immersive overall experience both parents,External device,device;gui
7,gui (mother),gui visual representation of heartbeat and counters ux design,External device,device;gui
8,kick counter,automated kick counter to keep track of number of kicks when device is worn current method is rudimentary and manual,Others,device;gui
9,movement counter,automated movement counter as a secondary sensing strategy for diagnostics fhr is not the primary mode of diagnosing failure,Others,device;gui
10,compatible display,compatible display with other preexisting wearables eg google glasses fitbit etc,External device,sensor;electrodes
11,pairing,can pair with other wearables to subtract out mecg from cecg,Others,sensor;electrodes
12,back support,design using anthropomorphic data to account for ergonomics in the back region,Belts,sensor;electrodes
13,memory foam padding,memory foam padding for added comfort and prevention of wear burnsmarks,Clothes,sensor;electrodes
14,gui (mother),simplistic low barrier to entry activity tracker water intake etc,External device,fetus;electrodes
15,stretchable belt,belt form factor with stretchable fabric,Belts,belt;sensors
16,lip shaped belt,belt is lipshaped to allow for 8 electrode placement covering larger surface area,Belts,belt;sensors
17,deterministic algorithm,diagnoses if there is a problem and whether a doctor should be informed,Others,device;gui
18,iot connection,connects wearable mothers phone doctors phonedevice,Others,mothers;connects
19,compression sleeve,form factor is a compression sleeve that wraps around abdomen,Clothes,device;gui
20,stretch marks reducer,something to reduce stretch marks in form factor,Others,device;gui
21,smart belt,a form fitting belt that montors an assortment of vitals like ecg heart rate etc,Belts,belt;sensors
22,smart patches,adhesive pathes for ecg monitoring that link to one another and bluetooth to a cellular device,Compact electrodes,device;gui
23,smart blanket,the blacket would be able to analyze the position of the baby as well as get ecg,Blanket/pillow,baby;mom
24,electrode embedded drifit,a skin tight shirt that has electrodes embedded in the abdomen region,Clothes,sensor;electrodes
25,detachable sensor strips ,strips that stick to the inside of your shirt to take sensor readings,Compact electrodes,sensor;electrodes
26,biotattoo,tattoos made with from conductive ink and microsensors that can take fetus vitals,Wearable accessories,fetus;electrodes
27,portable phone sensor,a attachable sensor to your phone that can track positioning,External device,sensor;electrodes
28,suspender electrodes,electrodes that attach to the bra and belt to stay intact,Compact electrodes,sensor;electrodes
29,waist padding,sensors embedded under the waist region of your pants,Wearable accessories,sensor;electrodes
30,body pillow,sensors embedded inside the pillow to get basic vitals when hugged,Blanket/pillow,sensor;electrodes
31,gui,a simple setup with heartbeat analysis kick counter and position,External device,device;gui
32,form fitting electrodes,electrodes that compliment th body form and allow them to be placed based on the curvature of the body  ,Compact electrodes,sensor;electrodes
33,morning sickness suppressor ,a wristband that suppresses mornign sickness by targetting particular nerves ,External device,pregnancy;sickness
34,ecg strap vest,a vest which is more comfortable that a compression belt but measures ecg,Wearable accessories,belt;sensors
35,adaptive insoles,insoles with sensors embedded that measure discomfort and heart rate ,Wearable accessories,device;gui
36,analysis mirror,laser based analysis via mirror with results projected on the mirror,External device,sensor;electrodes
37,stress sensor,a stress pod that can be used to monitor contractions ,Compact electrodes,sensor;electrodes
38,ear muff shaped half belt,a belt that wraps around 300 degrees with an opening in the front it has ecg sensors embedded in the larger region and gives back support,Belts,belt;sensors
39,tempreature adaptive belt,a compression belt that can modulate tempreture via cellular response,Belts,belt;sensors
40,safe ultrasound,a portable untrasound monitor that isnt harmful over extended use ,External device,device;gui
41,compressive band,acts as a compression band with sensor in front,Belts,sensor;electrodes
42,electrode moniter,electrodes that attatch to stomagh and relay information to the box that holds and stores data,Compact electrodes,sensor;electrodes
43,clip on sensor,sensor that clips to waistband of pants and sits against stomagh,External device,sensor;electrodes
44,embeded shirt sensor,sensor that sits inside tight fitting shirt around stomagh,Clothes,sensor;electrodes
45,embeded pants sensor,sensor sits on inside of waist line on pants pay be able to stretch around stomagh as woman gets larger,Clothes,sensor;electrodes
