Concept Index,Concept Name,Description,Human Label,Machine Label
1,custom added features,users will have the option to choose how they want the fridge to be lit and what sounds they want it to make,Apps/Tech,items;users
2,recipe promoter,a screen displays recipes with videos based off of items you commonly have to promote cooking,Apps/Tech,items;users
3,beer points,participants get points for beer when they eat all the food in their fridge,Apps/Tech,food;waste
4,spoil vapors & unspoil vapors,system detects gases that are being released in order to determine if items are going bad counter gases are released ,Chemistry Tech,food;waste
5,eatsa fridge,the fridge door has a computerized screen that is dark while in use but goes clear so user can see inside,Door Tech,door;doors
6,multi door fridge,multiple access doors on the fridge prevent the fridge from having a back,Door Tech,door;doors
7,dog food maker,built in system turns leftover food into dog food to eliminate waster ,Door Tech,food;waste
8,fake food,hologram like screen projects images of food in fridge to make it look more full,Door Tech,food;waste
9,waste tracker,scales in fridge and compost bin tell you what percent of food you wasted,Drawer Tech,food;waste
10,fridge legos,removable bins slide nicely into shelves of fridge looks tidy and qr scanners record what the item is and when it was put in,Drawer Tech,shelves;door
11,amazon fridge,amazon delivers cold food directly to your fridge when you arent home,Non-Fridge Concept,food;waste
12,weekly delivery box,user buys a standard weekly box that fits their needs  eliminates need for over buying food,Non-Fridge Concept,food;waste
13,milk box,seperate milk jug saves space and has dispenser can be washed between uses and knows experation date,Organization,compartment;cleaning
14,moving shelves,shelve space is put into door but overall volume is conserved when the door opens the shelves move to the front of the fridge,Shelf Tech,shelves;door
15,liquid filled shelves for extra cooling and cleaning,shelves work like a bath of cold water,Shelf Tech,compartment;cleaning
16,cold blast,items that havent moved in a while will be given extra cold air to lower its temp,Temp Control,shelves;door
17,freeze dried,built in systems turns leftover food into freeze dried meals that can last for years,Temp Control,food;waste
18,freezer to fridge,basically each night a user selects items they want to be defrosted the next day,Temp Control,items;users
19,multi part fridge,between the fridge and freezer is a counter space for nonrefrigerated items,Whole New Fridge,space
20,food energy,leftover food is converted into energy to power the fridge,Whole New Fridge,food;waste
21,living fridge,fridge grows herbs on top which can filter air and remove contaminants,Whole New Fridge,food;waste
22,voice command fridge,voice command box that allows users to record contentsexpiration datesetc can give reminders andor have fun sounds for different purposes,Apps/Tech,items;users
23,myfridge app,app on phone that allows users to recordkeep tracjk of fridge contents scanning feature for logging what you buy at the grocery store  can be integrated with voice commandscreen,Apps/Tech,items;users
24,interactive screen,interactice screen most likely on outer fridge door where users can log fridge content info can display reminders make sounds can be integrated with voice commandphone app,Apps/Tech,door;doors
25,food freshness app,app on phone that lets users find out about a specific food and its freshness health benefits when it goes badhow to store them,Apps/Tech,food;waste
26,mold alarm,device that sounds an alarm when spores are detected so user can know to remove that food item from the fridge to prevent contamination,Chemistry Tech,food;waste
27,see through fridge,fridge that is completely seethrough has customizable pulldown screens or manual tinting option when user wants to hide contents,Door Tech,items;users
28,shelve lable clip ons,clip on labels so you can attach to shelves,Non-Fridge Concept,shelves;door
29,saran wrap paper towel dispenser in fridge,builtin saran wrap paper towel dispenser to wrap food and easily clean messes,Non-Fridge Concept,food;waste
30,vacuum pipe,integrated vacuum pipe that sucks all the air out of the ziplock bags that holds users foods,Non-Fridge Concept,compartment;cleaning
