index,Concept Name,Concpet Description,Human Label,Machine Label
1,open handed harness,a customizable harness that does not cover the entire hand and tied around the wrist,Harness,finger;fingers
2,servo box,a handshape box that sits on top of hand for both servo mounting and finger attachment,Harness,finger;fingers
3,2 positions finger,2 servos to control a finger moving in 2 directions,Control,finger;fingers
4,bending linkage,a linkage design that allows finger to bend by pulling the string,Control,finger;fingers
5,monkey bar thumb design,have the thumb actuated based on myoelectric signal from forarm muscle flexsion,Control,finger;fingers
6,ibike,a myoelectric prosthetic hand designed for biking,Gone Ridin',hand;clamp
7,ihero,have marvel hero designs available for each child to chose and apply the design to the hands,Other,bar;child
8,2 piece clamp,2 fingers are mounted where the missing index to pinky finger are these close when the thumb squeezes to create a claw,The Claw,finger;fingers
9,1 piece clamp,one solid piece connects where typical fingers would be this allows for strong pinching between thumb and piece,The Claw,finger;fingers
10,alex's claw hand,have pins to lock the claw hand in open position the pins can be located at the hands forarm where the joint is,The Claw,finger;fingers
11,light grip for claw hand,use adjustable springs to limit the force on soft objects,The Claw,finger;fingers
12,zoidburg clamp,strong  three pronged gripper actuated with other hand,,hand;clamp
13,watch mount,a combination of prostheses and watch,Harness,sensors;combination
14,cooling harness,a mini fan implanted in harness to dissipate heat,Harness,sensors;combination
15,gripper,actuates like regular grippers,The Claw,
16,ibike myo signal processing,using myo armbands myoelectric sensors and using the frequency range for brach radi muscle on the forarm one can use the median power frequency of the power spectrum to classify light break vs tight break,Gone Ridin',sensors;combination
17,bar gripper,a monkey bar gripper that automatically closed due to springs and is safety button on side where is thumb is for releasing the grips,iMonkeyBar,finger;fingers
18,single joint hand,hook hand with single joint possibly for monkey bars,iMonkeyBar,finger;fingers
19,imonkey bar,c shabe composite metal that is attached at the wrist to l shaped velcro wrist srap the short end of l will flip over and lock the strap in place ,iMonkeyBar,finger;fingers
20,imonkey bar cushion love,have gel cushion at the wrist such that it would dampen the force on the wrist ,iMonkeyBar,finger;fingers
21,favorite color,let the user have the option to choose any pla color available for the various parts of their hand,Other,hand;clamp
22,brain computer interface,open and close hand using hand motor imagery ,Other,hand;clamp
23,hand stickers,design popular stickers for the hand and let the children choose their favorite stickers to put on,Other,hand;clamp
24,adjustable angle mount blocks,blocks can be used to change mounting angle of finger,Mount,finger;fingers
25,ball joint angle mount,finger can rotate based on what you need to pick up,Mount,finger;fingers
26,dual spring clamp,strong gripper for holding things for long periods of time,The Claw,objects;clamp
27,the gripper,passive gripper hand for holding high weights and cylindrical objects,,objects;clamp
28,drum roll,specific prosthetic for holding drumstick,,objects;clamp
29,thumb gripper,additional thumb for holding bike,,objects;clamp
30,arm gripper,arm grip with suction cups for holding books or things with flat surfaces,,objects;clamp
31,3 jonts fingers,3 joints finger that built with flexible material,Finger Designs,finger;fingers
32,tapping finger,a stopping system on each join of finger to prevent fingers from bending in the opposite direction,Finger Designs,finger;fingers
33,finger of fingers,a finger that can split into two finger at tip of the finger,Finger Designs,finger;fingers
34,elastic finger,finger harness that covers around a flexible soild 3d printed finger so that the finger can return to its original position when the string is released without an external componect,Finger Designs,finger;fingers
35,radial finger,3 webbed fingers that can expand into wider surface area,Finger Designs,finger;fingers
36,extendable finger,an extra section of finger placed inside the 3rd finger section that can be extended when needing for finer and sharper tips,Finger Designs,finger;fingers
37,snake finger,joint system allowing multiple axes of actuation,Finger Designs,finger;fingers
38,webbed finger,webbed fingers actuate when triggered by thumb prevents slipping through fingers,Finger Designs,finger;fingers
39,gravity actuated finger,gravity pulls weight down that closes grip,Finger Designs,finger;fingers
40,paddle shaped finger tip,spring loaded wide finger tip helps grip particular shapes,Finger Designs,finger;fingers
41,wiggle finger,locks open or close when sharply moved,Finger Designs,finger;fingers
42,page turner,finger with small textured area to help with friction at tip of finger,Finger Designs,finger;fingers
43,atomic lab's hand thumb re design,the current design of the thumb has its edge in contact when holding a cylindrical object rotate 45 degree to a 90 degree edge connection to have the whole side of thumb in contact also make it 100 mm taller with pointier tip,Finger Designs,finger;fingers
44,igrip,stretchable silicon to gover finger tips with mini spherical texture to increase surface area will provide better grip,Finger Designs,finger;fingers
45,itouch,pressure sensors at tip of fingers as input and vibrator as output placed on wrist in order of the fingers,Finger Designs,finger;fingers
46,bike fingers,fuse the last joint of the fingers such that there are two joins instead of three on the hand,Finger Designs,finger;fingers
47,monkey bar hand joint,have the hand have only one joint where the hand is in l shape and the tip of it has a digit made with flexible pla also make the corner fater to take more tension ,Finger Designs,finger;fingers
48,internal wiring,have the fishing lines or electric wires run in the fingers design space and hooks inside the digits and palm of the hand for lines and wirings ,Finger Designs,finger;fingers
49,auto hold hand,a proximity sensor is implanted in palm to automatically control the gripping motion,Control,hand;clamp
50,handle bar holding,a ring with a seat for the bike handle bar that would allow for control over steering when moving wrist to actuate brake,Gone Ridin',finger;fingers
51,brake extension,small attachment that extends bike brake to thumb for easier actuation,Gone Ridin',finger;fingers
52,brake hooker,very simple design to hook over brake on bike and allow for pulling brake while also steering,Gone Ridin',finger;fingers
53,wrist assist,allows you to hold handlebars when steering leaving wrist free to break,Gone Ridin',finger;fingers
54,robotic fingers,roboticlike fingers that has a sensor in the middle to control the gripping,Grippers,finger;fingers
55,itouch bci program,write a program on arduino to translate input signal from pressure sensors into currents from 02 ma,Other,sensors;combination
56,itouch bci,get the arduino output from the pressure sensors and send it as input to tdac device to stimulate the brains somatosensory region for hand,Other,sensors;combination
57,transcranial direct current stimulator,design a tdac device with fuse to deliver 02ma current to stimulate the brain,Other,sensors;combination
58,spring loaded clamp,mechanism to actuate a normally closed spring with other hand,The Claw,hand;clamp
59,octahand luck,have a lever on the back of hand to pressuring in the octapus suction cups on the palm side to lock in an object,,finger;fingers
60,robo wrist,robotic arm to help with daily tasks,,finger;fingers
61,the clamper,for fine pinching needs this gear actuated prosthetic is your best friend for small pinches and tieing shoelaces,,finger;fingers
62,the strapper,straps shut against object with a buckle similar to snow board bindings,,finger;fingers
63,viper,wrist actuated gripper,,finger;fingers
64,sing fing,single finger replacement for patients with most of a hand,,finger;fingers
65,tri fing,modular attachment for short or non existant fingers,,finger;fingers
66,thumb break,rotational brake to be actuated by thumb,,finger;fingers
67,octohand ,fingers with octopus like suction cups,,finger;fingers
68,finger of finger fingers,fingers within fingers within fingers,,finger;fingers
69,the reaper,single thin hook with a scycle shape,,finger;fingers
70,double reaper,like the reaper but with a second scythe on the other side,,finger;fingers
71,the pincer,three rounded horns with spikes for grip like horns of a beatle,,finger;fingers
72,imonkey bar c metal part,we want the composite matterial to be light and hold 100 lb before breaking,iMonkeyBar,bar;child
73,octopus finger,sucking discs on finger tips for holding objects,Finger Designs,objects;clamp
74,ball joint,ball shape joint that allows the finger to rotate in 360 degrees,Joints,finger;fingers
75,finger lock,a rotational lock for finger attachment,Joints,finger;fingers
76,screw joint,joint of finger that can be removed and attach by screwing in and out,Joints,finger;fingers
77,twist joint,joint that locks the finger by twisting,Joints,finger;fingers
78,heat molded harness,use heat set foam to mold harness for hand,Niche,hand;clamp
79,cosmetic  attachment,realistic hand attachment that closes when actuated by thumb movmenet,Niche,hand;clamp
80,the mit,hand specifically designed to hold a baseball sized ball,Niche,hand;clamp
