index,Concept Name,Concpet Description,Human Label,Machine Label
1,all in one robot,robots which can traverse in aerial land and sea,locomotion,robot;spider
2,flight!,the robot flies over uneven terrain,locomotion,robot;spider
3,jump!,the robot propels itself over obstacles like a cat,locomotion,robot;spider
4,spider,robot swings on something like spider silk eg into a ditch or over a gap,locomotion,robot;spider
5,mod,everything condensed to contained within tensile or compression elements,mod save america,rods;cables
6,connectme,connect multiple tensegrities through their endcaps to form a huge transformer tensegrity,mod save america,rods;cables
7,bubbleit,encase the tensegrity in a light thin elastic bubble protects the tensegrity from any falling debri during an earthquake,integrity,earthquake;disaster
8,robo tether,robo tethers allow for easy grab and release of an object,flexibility,robot;robots
9,shrink!,the robot adjusts length of spine according to need,flexibility,robot;robots
10,steady!,the robot uses walls to improve its stability,flexibility,robot;robots
11,shrinking robot,rods can retract robot can shrink into a smaller ball when needed,flexibility,robot;robots
12,extendable arm,robot has an extendable rod that acts as arm carries sensors and deployable in hardtoreach spaces,flexibility,robot;robots
13,micrott swarm,reduce the size of the tensegrity to a tiny robot capable of working in a swarm these robots can then move around multiple areas to cover more ground in the same timeframe than 1 large tensegrity,flexibility,robot;robots
14,modulagrity,enable modularity of the tensegrity robots to enable it to change sizes by connecting to several other tensegrities robots,flexibility,robot;robots
15,break!,the robot breakspushes through terrain that is in the way grass rocks,locomotion; impact toughness,robot;robots
16,expand!,the robot is wide so that the unevenness of the terrain is flat relative to size of contact area like a monster truck,locomotion; impact toughness,robot;robots
17,balance!,the robot can ensure it is balanced over its center of gravity,locomotion; impact toughness,robot;robots
18,cover it!,covering the payload and sensitive instruments of the tensegrity using a durable cover,impact toughness,rods;cables
19,rubber spring feet,rubber domes attached to end of rods using thick fat compression springs,impact toughness,rods;cables
20,endcap enclosure tethers,enclosure is mounted to rest of sphere by cables tethered to ends of rods,impact toughness,rods;cables
21,plunger endcaps,use air as a springdamper for end shock absorbtion,impact toughness,rods;cables
22,soft electronics enclosure,cover electronics enclosure with soft foam to mitigate damage from occasional rod collisions,impact toughness,rods;cables
23,breakaway cables,have some singleuse cable attachments that act as mechanical fuses in order to break fall from drone,impact toughness,rods;cables
24,thicker rods,simply have thicker rods for the tensegrity sphere to further resist buckling,impact toughness,rods;cables
25,motors on a dampening system,attach motors to a dampener to soften direct blows on it to the shaft it is attached on,impact toughness,rods;cables
26,adjustable spring tension,change spring tension to tighten just before robot experiences high impact loading,impact toughness,rods;cables
27,composite spools,replace the current spools with carbonfibre thread to increase resistance to snappingbreaking,integrity,obstacles;bars
28,2 shape lattice,rubber lattice shapes that consist of triangle and diamonds to ease assembly and cut down on rubber waste,weight,rods;cables
29,mid mounting,enclosure is mounted to rest of sphere by cables tethered to middle of rods,weight,rods;cables
30,staged springs,progressivly stiffer springs that are tied in series,impact toughness,springs;enclosure
31,smart robot,recognises the face of the victim during a disaster,secondary function,robot;spider
32,smart robot: path planners,robots which plan the most suitable path for the first responders,secondary function,robot;spider
33,pull,grabs something and use it to pull cog forward grab next thing and use to pull cog forward,locomotion,obstacles;bars
34,directional tread on endcaps,keep feet moving in proper direction by having spikes or something pointed in the opposite direction,locomotion,obstacles;bars
35,tensegrileap,introduce spring like feet to the endcaps of the tensegrity sphere helps the tensegrity jump past obstacles it cant otherwise roll over also helps act as a force dampener during deployment,locomotion,obstacles;bars
36,drillcap,have drills on the endcaps of the 6bar tensegrity to enable it to climb vertically it will drill onto a rocksoft material to provide a stable grip,locomotion,obstacles;bars
37,rectangular enclosure,enclosure is designed to be as small as possible surrounding only the two control boards and thats it,weight,springs;enclosure
38,froggy,projects self off higher rubble or roofs into desired areas,locomotion; planning,springs;enclosure
39,loyalty,protects humans provides cover when near humans while disaster is occuring,secondary function,earthquake;disaster
40,stensegth,modular strength  add strengthening mebers to to poles to exisiting poles of the tensegrity poles,mod save america;impact toughness,
41,axial spring,decouple motors from stretchiness of sphere by placing springs on axle of motor,locomotion,springs;enclosure
42,hollow rods,use hollow rods cut down on weight,secondary function/locomotion,rods;cables
43,heavy load carrying robots,a wide flat robot with a large back which is able to carry heavy loads from one place to another,weight,robot;robots
44,shape memory polymer,the shape memory polymers enable the researchers to finetune how quickly each strut expands by adjusting at which temperature the expansion occurs ,impact toughness,obstacles;bars
45,tensegribars,add more bars to the tensegrity to make it more rigid and robust,impact toughness,obstacles;bars
46,squish!,the robot flattens itself to squeeze through tight areas,flexibility,robot;spider
47,weave!,the robot weaves between objects,flexibility,robot;spider
48,legs!,many legs so that at least one catches on the terrain,locomotion,rods;cables
49,toes,has toes on end caps to grip,locomotion,rods;cables
50,squeeze,can squeeze two compression rods together to hold onto things,locomotion,rods;cables
51,stick together,everything covered in sticky material for grip,locomotion,rods;cables
52,hook,hooks tensile component on rubble and shortens it to pulls self forward and on top of rubble,locomotion,rods;cables
53,increased friction on the cables,increased friction on the cables rubber band eg with spikes ,locomotion,rods;cables
54,spherical electronics enclosure,electronics are enclosed in a sphere to reduce catching on rodscables during movement,locomotion,rods;cables
55,cable guides on bearings,if we use bearings include guides that turn the rods,locomotion,rods;cables
56,rod electronics,move electronics to rods in order to suspend the payload in the middle,locomotion,rods;cables
57,expansion end caps,endcaps that expands like an inverse tripod to provide traction on different terrain,locomotion,rods;cables
58,squish it!,collaspable rods into a cynlinder shape for ease of transportation space constraints,locomotion,rods;cables
59,elastomer dampening,use a viscoelastic elastomer inside of a spring to act as a dashpot,impact toughness,
60,removable endcaps,be able to switch out endcaps so we can test materials and springs,flexibility,obstacles;bars
61,waterproof robots,a waterproof sheet wrapped around the robot which protects the payload and all the internal sensitive compeonents,secondary function,robot;robots
62,robots with vr,instead of using gps which provides a 2d coordinate the robot uses 3d coordinate system wearing a vr to pinpoint the location of the victim,secondary function,robot;robots
63,smart and fire resistant robots,planning an escape route in a building caught on fire,secondary function,robot;robots
64,sesimic robots,able to scan for earthquakes and can scan the structural integrity of a building before the first responders enter,secondary function,robot;robots
65,wear your controller,a hand watch or app with wireless robot control feautures ,secondary function,robot;robots
66,robo paint,robot paint enables easy identification of robot during search and rescue operations for example a red colour robot can be easily identified by a victim who can then call for help,secondary function,robot;robots
