index,Concept Name,Concpet Description,Human Label,Machine Label
1,manual power generatot,when you need to use it press generator to make it work,Special Features,device;air
2,smart air filter,an air filter that has gas sensors to help evaluatre the indoor air quality and run accordingly,Auto-multifunction,sensor;air
3,"timer" gas sensor,the sensor is in the shape of timer watch can be operated by several bottoms and show the result,Independent Device/watch and clock,sensor;gas
4,toliet cleaner,a gas sensor that can help monitor the cleanness of the toliet and then control the toilet to wash it,auto-multifunction,gas;sensor
5,wall clock sensor,mounted in wall clock,Clock&Watch,sensor;air
6,mini sensor station,it is desinged for put at one place and monitor the air quality in the room,Clock&Watch,sensor;air
7,wireless transmission,gas sensor can send the data gathered to computer through wireless transmission,Special Features,gas;sensor
8,sefl moving,move automactically to detect toxic gas,Special Features,gas;sensor
9,miicrophone,it can alarm residents when there toxic gas makes people in danger,Special Features,gas;sensor
10,all round type gas flow channel,enable gas sensor to detect gas from all direction,Special Features,gas;sensor
11,open door control,the gas sensor can control the door to close automatically,Special Features,gas;sensor
12,protection suit,install gas sensor to protection suit then it can detect toxic gas and report it to those working in dangerous consitions,Special Features,gas;sensor
13,health monitor,gather and analyze the gas expirated out from human beings to report their health condition,Special Features,gas;sensor
14,extractor hood sensor,the sensor mounted under extractor monitor gas,Special Features,gas;sensor
15,teeth sensor,mounted in the teeth sense the gas exhausted,Special Features,gas;sensor
16,ac assistant,a system with several das sensor around the room to detect the air quality and adjust the ac,Auto-multifunction,device;air
17,window opener,a decive that detect hte air flow throught the window and openclose the windowopen for fresh air close for polluted air,Auto-multifunction,device;air
18,fresh meeting room,a device that control the havc of the meeting room according to the meeting people and schedule ,Auto-multifunction,device;air
19,individual equipment ,a independent powered sensor,Independent Device,sensor;air
20,healthy lung,a device with oxygen and carbon dioxide sensor that as as a lung function checker ,Independent Device,sensor;air
21,mini gas sensor,a gas sensor at a size like remoter the gas inlet is at the top the device has its own display to show the result,Independent Device,sensor;air
22,detect origin ,a sensor can detect what is the origin,Independent Device,sensor;air
23,window shade gas sensor,the sensor was designed onto the window shade it can detect whether the window is open or not if it is not opened for a while it can detect the air condition and alarm if it is not good,Independent Device,sensor;air
24,built into an air purifier,the sensor is built into an air purifier moniter the inlet and outlet air condition and start and stop working automaticly,Independent Device,sensor;air
25,iwatch embedded,embedded in iwatch uses during working out,Clock&Watch,
26,mini size,mini size give chance to be mounted and embedded,Special Features,data;mini
27,cell phone embedded,can be embedded in cell phone,Special Features,data;mini
28,animation presentation,make the results to be presented in animation form,Special Features,data;mini
29,image rendering,the data can be presented rhrough pitcure make it more vivid,Special Features,data;mini
30,medical use gas sensor ,patients will exhale through the funnel the sensor will detect the percentage of co2 and o2 use standard disposable funnel,Independent Device,gas;sensor
31,adjustable gas sensor ,probe bar is adjustable so that it can reach out a a specific space full of some gases without coming into that space,Independent Device,gas;sensor
32,viewing screen,the viewing screen occupies the whole surface of the gas sensor,Independent Device,gas;sensor
33,air meter,a device that can use gas sensors to evaluate the concentration of certain type of gas in the air and store the data over time,Independent Device,gas;sensor
34,movable voc checker,a device that can move around the house to detect voc gas and send alerts,Independent Device,gas;sensor
35,vase gas sensor,this gas has a vase exterior every branch is attached to the control board to sense the gas,Independent Device,gas;sensor
36,pipe shape gas sensor,fashionable shape can attract many midage people it can detect the conponents when people inhale and exhale,Independent Device,gas;sensor
37,night sensor,record the gas exhausted during sleeping,Independent Device,gas;sensor
38,clean trash can,a gas sensor attaching to the trash can to detect the putrefaction ,Independent Device,gas;sensor
39,necklace shape sensor,can be holded on neck,Special Features,sensor;gas
40,solar energy powered,the sensor can be powered by solar energy,Special Features,sensor;gas
41,social media share,the data from sensor can be shared to social media,Special Features,sensor;gas
42,foldable,the sensors screen can be foldered to smaller or expand to a larger one as needed,Special Features,sensor;gas
43,small size,make the sensors size small to be portable,Special Features,sensor;gas
44,sticker,make the gas sensor can be attached to wall ,Special Features,sensor;gas
45,mobile phone patch,gas sensor is a slice which can be attached to the backside of the phone,Special Features,sensor;gas
46,;present results in lens,for those who wear glasses the results can be showed to the lens directly,Special Features,sensor;gas
47,magnetic gas sensor,the magnetic gas sensor with charge port can be attached on the door of refrigerator and many other appliances,Special Features,sensor;gas
48,nose gas sensor,the gas sensor can be placed inside nose ,Special Features,sensor;gas
49,clean refrigerator,a device that can sensor the gas from putrefaction to tell whether the food goes bad inside the regrigerator,Auto-multifunction,gas;sensor
50,smart humidifier,a humidifier that is controlled by the gas sensor to adjust the working level,Auto-multifunction,gas;sensor
51,leaking preventing,a device that utilizes gas sensors to detect leaking from pipes like nature gas in kitcken and shut down the gas if needed,Auto-multifunction,gas;sensor
52,fresh air,an air puifier that is controlled by the gas sensors to maintain a good level of air quaility,Auto-multifunction,gas;sensor
53,clean sink disposal ,a device that control a wash flow to keep the sink disposal clean by gas sensor detecting technology,Auto-multifunction,gas;sensor
54,sensitive rose gas sensor,apply attracting rose like appearance to increase contact area app in mobile devices display the result,Smart Device Interactive,sensor;air
55,110v bluetooth home use sensor,110v ac charge connect to smart devices through bluetooth app in mobile device dasplay the result,Smart Device Interactive,sensor;air
56,air monitor,a device that contains gas sensor to detect indoor air quality and communicates with smart device like phones,Smart Device Interactive,sensor;air
57,in car gas sensor,this gas sensor can be plug into a car using cars power monitor air quality in the car and send data to smartphone,Smart Device Interactive,sensor;air
58,plug in sensor i,this is like a back up battery for a phone which can plug on the phone and using smartphones power and send data to app,Smart Device Interactive,sensor;air
59,plug in sensor ii,small sensor to plug into smartphone and interact with smartphones,Smart Device Interactive,sensor;air
60,bottle gas sensor,the sensor was designed on the cap of a water bottle since people bring water bottle around it can monitor the air condition and transfer data to smartphones,Smart Device Interactive,sensor;air
61,lamp in built gas sensor,the sensor is built into a desk lamp and monitor the air condition if needed send data onto the smartphone,Smart Device Interactive,sensor;air
62,built into fire alarm,the sensor is built into fire alarm monitor the air quality well not using for fire smokes,Smart Device Interactive,sensor;air
63,window screen gas sensor,mounted on the screen window and monitor the air goes in and out,Smart Device Interactive,sensor;air
64,workout assistant,a device that analyzes the breathe and monitor the heart lung function with other data ,Smart Device Interactive,sensor;air
65,on door gas sensor,the sensor can monitor the air condition on both side of the door and provide best air quality improve advise,Smart Device Interative/Special features,sensor;air
66,smoke detection,for people who smoke detect the harmful level,Independent Device,device;air
67,air quality in car,a device that can be pluged in to the 12 v power in the car to detect the air quality inside the car,Independent Device,device;air
68,gas sensor on wearable appliances,the sensor is a module in wearable applianceswatch,Clock&Watch,gas;sensor
69,built in sensor on smart watches,mems gas sensor is built into a smart watch and interact with the smart watch itself,Clock&Watch,gas;sensor
70,friendly ui,the sensor comes with a userfriendly app,Special Features,sensor;air
71,filter,eliminate the interference of humidity,Special Features,sensor;air
72,monitor brightness varies,a monitor whose brightness varies with light,Special Features,sensor;air
73,air quality data net,install gas sensor to the whole city and gather data,Special Features,sensor;air
74,ring sensor,shaped as a ring,Special Features,sensor;air
75,carpet sensor,sense the harmful things in carpet,Special Features,sensor;air
76,bath room sensor,sense the harmful things in bathroom,Special Features,sensor;air
77,furniture sensor,sense the harmful things in funiture,Special Features,sensor;air
78,drone gas sensor,the gas sensor is mounted onto a small drone that can fly around and monitor air quality indoor,Special Features,sensor;air
79,dog neck band,the gas sensor can be designed into a dog neck bend and monitor the air quality wherever the dog goes,Special Features,sensor;air
80,customized modular computer attaching sensor,look like a usb functions can be customized by adding different gas detecting modulars,Smart Device Interactive,sensor;gas
81,built in sensor,mems gas sensor is planted into the smartphone all function will be connected to the phone,Smart Device Interactive,sensor;gas
82,key chain wireless,a small sensor will be design and pacakged using its own buildin battery using wireless system to connect with smartphone,Smart Device Interactive,sensor;gas
83,air outlet mount sensor,can be mount on all types of air outlets using its own battery power,Smart Device Interactive,sensor;gas
84,implantable gas sensor,this gas sensor can be implanted on the skin of people,Smart Device Interactive,sensor;gas
85,earring gsa sensor,this gas sensor can be use as decoration earrings connect to smart appliances through bluetooth,Smart Device Interactive,sensor;gas
86,gas sensor in shirt,this sensor is attached to a short to detect gases it can also be regarded as a decoration,Smart Device Interactive,sensor;gas
87,gas sensor in pants,the sensor can be attached to pants to detect gases,Smart Device Interactive,sensor;gas
88,gas sensor in smart glasses,the gas sensor is attached to a pair of smart glasses the data can be projected to the glasses ,Smart Device Interactive,sensor;gas
89,sheet gas sensor,the sensor is a thing sheet and can be attached on whatever you want apply wireless charging,Smart Device Interactive,sensor;gas
90,tv gas sensor,the sensor can be designed into smart tvs and show data on tv directly,Smart Device Interactive,sensor;gas
91,table lamp gas sensor,this sensor is installed in a table lamp the result will be displayed on the screen of it,Auto-multifunction,sensor;gas
92,external connection,connected and powered by cell phone,Smart Device Interactive,
93,projection,project the result to the wall,Special Features,
94,mobile gas sensor with  srceen,a mobile gas sensor with screen compatible to mobile devices,Smart Device Interactive,gas;sensor
95,mbile gas sensir,plug into the headphone jack ,Smart Device Interactive,gas;sensor
96,mask with gas sensor,the sensor is put into a msak,Smart Device Interactive,gas;sensor
97,computer attraching gas sensor,attach the sensor to pc,Smart Device Interactive,gas;sensor
98,usb gas sensor,this is a sensor build with a usb connceter once it plug into a computer it can sense and tranfer data to computer,Smart Device Interactive,gas;sensor
99,laser gun,a laser gun that makes use of the laser to detect gas to check gas leaking,Smart Device Interactive,gas;sensor
100,cooking assistant,a device that can detect singed food while cooking by gas sensor,Smart Device Interactive,gas;sensor
101,perfume storage assistant,a ringshape gas sensor attaching at the perfume cap to avoid perfume leaking,Smart Device Interactive,gas;sensor
