Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
6,Apps(Dining),9,date;app,1,[35]
6,Apps(Dining),6,app;food,2,[36; 37]
3,Wearable device,11,well designed,1,[20]
0,Shopping Cart Device,0,cart;shopping,9,[4; 5; 9; 10; 31; 32; 44; 51; 52]
6,Apps(Dining),2,bottle;water,1,[47]
3,Wearable device,7,intake;muscle,1,[34]
2,Home appliance,5,food;scanner,1,[30]
10,Staying hydrated,3,people;monitor,1,[17]
7,Wearable Device,2,bottle;water,2,[41; 57]
3,Wearable device,3,people;monitor,3,[13; 18; 38]
2,Home appliance,9,date;app,1,[40]
3,Wearable device,10,people;function,3,[14; 15; 16]
4,Grocery Bags,4,grocery;bag,2,[2; 3]
2,Home appliance,2,bottle;water,5,[8; 43; 45; 48; 53]
8,Apps (shopping),6,app;food,1,[22]
3,Wearable device,5,food;scanner,2,[11; 12]
1,Robot,1,robot;food,7,[23; 26; 27; 28; 29; 42; 58]
2,Home appliance,6,app;food,1,[21]
1,Robot,4,grocery;bag,1,[1]
7,Wearable Device,7,intake;muscle,2,[56; 59]
11,App (Shopping),0,cart;shopping,1,[60]
7,Wearable Device,5,food;scanner,1,[54]
0,Shopping Cart Device,5,food;scanner,1,[6]
5,wearable device,5,food;scanner,2,[24; 25]
2,Home appliance,7,intake;muscle,2,[33; 39]
6,Apps(Dining),8,suggestions;fit,1,[46]
9,App (Health),9,date;app,1,[50]
8,Apps (shopping),8,suggestions;fit,1,[19]
2,Home appliance,3,people;monitor,1,[49]
7,Wearable Device,6,app;food,1,[55]
10,Staying hydrated,2,bottle;water,1,[7]
