Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
5,IN-CAR COMMUNICATION,9,system;people,1,[24]
6,VOICE PROGRAM,9,system;people,1,[29]
1,SAFETY,3,car;system,2,[73; 81]
9,CAR-TO-CAR CONNECTIVITY,1,car;driver,2,[5; 53]
6,VOICE PROGRAM,6,system;vehicle,1,[35]
7,COMFORT,12,car;people,1,[23]
11,ENTRY & EXIT,2,vehicle;car,1,[14]
7,COMFORT,7,pedals;bed,1,[55]
0,ALTERNATIVE CONTROL,7,pedals;bed,1,[10]
1,SAFETY,6,system;vehicle,2,[49; 50]
2,LEISURE & ENTERTAINMENT,12,car;people,1,[26]
9,CAR-TO-CAR CONNECTIVITY,4,display;screen,1,[13]
7,COMFORT,10,screen;color,1,[64]
2,LEISURE & ENTERTAINMENT,10,screen;color,1,[79]
1,SAFETY,11,control;vehicle,1,[45]
10,NAVIGATION,3,car;system,1,[8]
7,COMFORT,2,vehicle;car,1,[65]
1,SAFETY,2,vehicle;car,3,[42; 46; 48]
12,EXTERNAL SIGNAL,2,vehicle;car,1,[16]
5,IN-CAR COMMUNICATION,5,use;projection,2,[36; 37]
10,NAVIGATION,7,pedals;bed,1,[7]
4,SCREEN & DISPLAYS,4,display;screen,2,[19; 28]
14,WARNING SYSTEM,1,car;driver,1,[71]
5,IN-CAR COMMUNICATION,6,system;vehicle,1,[72]
0,ALTERNATIVE CONTROL,11,control;vehicle,3,[11; 31; 32]
11,ENTRY & EXIT,1,car;driver,1,[66]
3,CLOUD TECHNOLOGY,6,system;vehicle,1,[22]
2,LEISURE & ENTERTAINMENT,2,vehicle;car,3,[25; 27; 51]
4,SCREEN & DISPLAYS,1,car;driver,2,[68; 69]
1,SAFETY,1,car;driver,5,[41; 74; 75; 76; 77]
10,NAVIGATION,9,system;people,1,[18]
2,LEISURE & ENTERTAINMENT,7,pedals;bed,1,[56]
0,ALTERNATIVE CONTROL,0,car;control,5,[0; 1; 2; 20; 52]
13,PORTABLE DEVICE CONNECTIVITY,2,vehicle;car,2,[38; 39]
8,PARKING,2,vehicle;car,2,[33; 34]
4,SCREEN & DISPLAYS,10,screen;color,1,[59]
7,COMFORT,1,car;driver,2,[6; 44]
1,SAFETY,13,higher price service,1,[40]
11,ENTRY & EXIT,9,system;people,1,[15]
4,SCREEN & DISPLAYS,14,driving map,1,[58]
6,VOICE PROGRAM,0,car;control,1,[60]
2,LEISURE & ENTERTAINMENT,3,car;system,1,[80]
2,LEISURE & ENTERTAINMENT,1,car;driver,2,[47; 78]
14,WARNING SYSTEM,6,system;vehicle,1,[70]
3,CLOUD TECHNOLOGY,3,car;system,2,[54; 63]
0,ALTERNATIVE CONTROL,1,car;driver,1,[4]
8,PARKING,1,car;driver,1,[67]
10,NAVIGATION,10,screen;color,1,[57]
9,CAR-TO-CAR CONNECTIVITY,2,vehicle;car,2,[12; 43]
9,CAR-TO-CAR CONNECTIVITY,9,system;people,1,[21]
0,ALTERNATIVE CONTROL,6,system;vehicle,3,[3; 30; 62]
8,PARKING,8,self parking,1,[9]
14,WARNING SYSTEM,3,car;system,1,[61]
2,LEISURE & ENTERTAINMENT,4,display;screen,1,[17]
