Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
0,Infrastructure Adapters,1,lights;button,2,[6; 25]
1,User-Interface Device,2,lights;application,1,[50]
0,Infrastructure Adapters,0,switch;switches,11,[1; 2; 8; 14; 16; 18; 20; 30; 31; 33; 39]
3,Infrastructure Adapter,3,light;bulb,1,[49]
3,Infrastructure Adapter,0,switch;switches,1,[43]
2,User-Interface Devices,1,lights;button,5,[3; 4; 7; 10; 23]
1,User-Interface Device,1,lights;button,7,[26; 27; 29; 41; 42; 44; 48]
2,User-Interface Devices,0,switch;switches,4,[9; 13; 15; 17]
2,User-Interface Devices,2,lights;application,2,[19; 21]
1,User-Interface Device,0,switch;switches,10,[24; 34; 35; 36; 37; 38; 40; 45; 46; 47]
0,Infrastructure Adapters,3,light;bulb,5,[11; 12; 22; 28; 32]
0,Infrastructure Adapters,2,lights;application,1,[5]
