Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
12,entertainment,1,bike;bikes,3,[57; 63; 75]
9,Infrastructure,1,bike;bikes,1,[3]
6,Service,6,person;bike,1,[1]
10,law,6,person;bike,1,[44]
7,Entertainment,7,question asker,1,[4]
2,service,1,bike;bikes,2,[46; 49]
12,entertainment,5,lock;wheel,1,[51]
4,Locking process,12,finger scanner,1,[5]
14,surveillance,0,lock;bike,1,[71]
9,Infrastructure,4,lock;pad,1,[38]
5,bike construction,1,bike;bikes,1,[56]
0,locking process,3,bike;gps,1,[92]
3,tracking/surveillance,14,bikes,1,[27]
11,Bike construction,11,custom bikes,1,[50]
1,infrastructure,2,bike;lock,2,[16; 20]
12,entertainment,2,bike;lock,1,[36]
9,Infrastructure,0,lock;bike,1,[35]
3,tracking/surveillance,3,bike;gps,4,[26; 84; 91; 98]
8,Surveillance,1,bike;bikes,2,[2; 41]
4,Locking process,4,lock;pad,3,[33; 37; 39]
5,bike construction,18,seat bringer,1,[66]
4,Locking process,13,lock;door,1,[6]
2,service,2,bike;lock,4,[24; 25; 29; 30]
3,tracking/surveillance,16,all around bike tracker,1,[14]
4,Locking process,1,bike;bikes,1,[9]
1,infrastructure,1,bike;bikes,5,[11; 47; 72; 87; 93]
7,Entertainment,14,bikes,1,[7]
0,locking process,0,lock;bike,22,[13; 17; 18; 19; 22; 23; 43; 45; 55; 59; 64; 67; 68; 70; 74; 80; 85; 88; 89; 90; 95; 97]
3,tracking/surveillance,2,bike;lock,3,[28; 69; 78]
3,tracking/surveillance,13,lock;door,1,[81]
4,Locking process,5,lock;wheel,1,[34]
1,infrastructure,13,lock;door,1,[65]
0,locking process,4,lock;pad,1,[12]
5,bike construction,5,lock;wheel,2,[52; 61]
5,bike construction,13,lock;door,1,[79]
1,infrastructure,10,bike;scanner,2,[40; 48]
3,tracking/surveillance,19,colourful explosion ,1,[73]
1,infrastructure,0,lock;bike,2,[62; 82]
0,locking process,8,camera;sensor,1,[83]
7,Entertainment,15,cages park,1,[8]
0,locking process,1,bike;bikes,3,[76; 77; 96]
13,service/infrastructure,1,bike;bikes,2,[58; 60]
10,law,10,bike;scanner,1,[53]
6,Service,1,bike;bikes,1,[42]
3,tracking/surveillance,1,bike;bikes,1,[94]
9,Infrastructure,9,basement ,1,[32]
2,service,0,lock;bike,1,[21]
8,Surveillance,8,camera;sensor,1,[10]
7,Entertainment,17,music lock,1,[31]
5,bike construction,2,bike;lock,1,[54]
0,locking process,2,bike;lock,1,[15]
0,locking process,10,bike;scanner,1,[86]
