Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
1,Mechanical Implemetation,3,power;outlet,2,[22; 23]
3,Feedback,0,gui;users,7,[2; 3; 4; 65; 66; 67; 68]
0,Accessories,7,connect with friends via app,1,[54]
0,Accessories,0,gui;users,9,[29; 31; 32; 44; 46; 49; 69; 70; 74]
1,Mechanical Implemetation,6,system;counterweight,2,[21; 78]
7,Versatility,2,bar;weight,1,[63]
4,Work Management,0,gui;users,2,[43; 45]
1,Mechanical Implemetation,2,bar;weight,3,[14; 20; 33]
3,Feedback,3,power;outlet,2,[24; 25]
0,Accessories,6,system;counterweight,1,[75]
4,Work Management,4,motion;weight,2,[40; 42]
3,Feedback,6,system;counterweight,1,[1]
2,Safety,2,bar;weight,5,[6; 7; 8; 28; 38]
4,Work Management,1,weight;bar,1,[11]
1,Mechanical Implemetation,1,weight;bar,6,[16; 18; 19; 34; 35; 52]
6,Control,4,motion;weight,1,[51]
2,Safety,6,system;counterweight,1,[5]
7,Versatility,1,weight;bar,2,[26; 27]
4,Work Management,5,feature;trainer,1,[41]
6,Control,0,gui;users,3,[13; 15; 50]
1,Mechanical Implemetation,4,motion;weight,1,[77]
1,Mechanical Implemetation,0,gui;users,4,[17; 53; 73; 76]
3,Feedback,5,feature;trainer,1,[36]
0,Accessories,1,weight;bar,2,[47; 48]
7,Versatility,0,gui;users,7,[59; 60; 61; 62; 64; 71; 72]
5,,5,feature;trainer,1,[57]
7,Versatility,4,motion;weight,2,[56; 58]
2,Safety,0,gui;users,3,[9; 10; 39]
6,Control,2,bar;weight,1,[12]
0,Accessories,2,bar;weight,4,[30; 37; 55; 79]
