Index,Human_Label,Machine_Label
0,ALTERNATIVE CONTROL,car;control
1,SAFETY,car;driver
2,LEISURE & ENTERTAINMENT,vehicle;car
3,CLOUD TECHNOLOGY,car;system
4,SCREEN & DISPLAYS,display;screen
5,IN-CAR COMMUNICATION,use;projection
6,VOICE PROGRAM,system;vehicle
7,COMFORT,pedals;bed
8,PARKING,self parking
9,CAR-TO-CAR CONNECTIVITY,system;people
10,NAVIGATION,screen;color
11,ENTRY & EXIT,control;vehicle
12,EXTERNAL SIGNAL,car;people
13,PORTABLE DEVICE CONNECTIVITY,higher price service
14,WARNING SYSTEM,driving map
