Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
7,Wearable Device,3,bottle;water,2,[26; 27]
6,wearable device,6,food;scanner,2,[7; 8]
8,Apps (shopping),0,cart;shopping,1,[6]
7,Wearable Device,7,intake;muscle,2,[47; 48]
2,Wearable device,6,food;scanner,2,[52; 53]
9,App (Health),4,app;food,1,[45]
3,Home appliance,7,intake;muscle,2,[50; 51]
10,Staying hydrated,3,bottle;water,1,[46]
5,Grocery Bags,5,grocery;bag,2,[4; 5]
2,Wearable device,9,,1,[18]
7,Wearable Device,6,food;scanner,1,[55]
4,Apps(Dining),4,app;food,3,[1; 2; 3]
4,Apps(Dining),8,suggestions;fit,1,[19]
1,Robot,5,grocery;bag,1,[10]
3,Home appliance,6,food;scanner,1,[11]
2,Wearable device,2,people;monitor,6,[20; 21; 22; 23; 24; 25]
1,Robot,1,robot;food,7,[28; 29; 30; 31; 32; 33; 34]
3,Home appliance,2,people;monitor,1,[35]
0,Shopping Cart Device,0,cart;shopping,9,[36; 37; 38; 39; 40; 41; 42; 43; 44]
3,Home appliance,3,bottle;water,5,[13; 14; 15; 16; 17]
2,Wearable device,7,intake;muscle,1,[12]
7,Wearable Device,4,app;food,1,[49]
0,Shopping Cart Device,6,food;scanner,1,[9]
8,Apps (shopping),8,suggestions;fit,1,[56]
4,Apps(Dining),3,bottle;water,1,[57]
8,Apps (shopping),4,app;food,1,[60]
3,Home appliance,4,app;food,2,[58; 59]
10,Staying hydrated,2,people;monitor,1,[54]
