Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
2,aesthetics,5,pump;plastic,1,[57]
0,performance,0,lubricant;viscosity,11,[2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12]
3,smell,1,lubrication;lubricants,1,[45]
3,smell,6,gas mask,1,[44]
3,smell,0,lubricant;viscosity,4,[40; 41; 42; 43]
6,cost,1,lubrication;lubricants,1,[27]
4,noise,4,use ear plugs,1,[28]
6,cost,0,lubricant;viscosity,4,[29; 30; 31; 32]
0,performance,3,smell;ingredients,2,[59; 60]
3,smell,7,flower fragrant additives,1,[58]
2,aesthetics,0,lubricant;viscosity,7,[20; 21; 22; 23; 24; 25; 26]
0,performance,5,pump;plastic,1,[33]
3,smell,3,smell;ingredients,2,[51; 52]
5,environment friendly,0,lubricant;viscosity,5,[13; 14; 15; 16; 17]
2,aesthetics,2,self lubricating,2,[18; 19]
7,long lasting,0,lubricant;viscosity,5,[46; 47; 48; 49; 50]
1,awareness,0,lubricant;viscosity,4,[53; 54; 55; 56]
1,awareness,1,lubrication;lubricants,6,[34; 35; 36; 37; 38; 39]
3,smell,5,pump;plastic,1,[1]
