Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
3,personal accessory,2,performance;material,1,[11]
0,home appliances,0,material;strength,9,[2; 3; 4; 5; 6; 7; 8; 9; 10]
7,stationery,0,material;strength,1,[16]
3,personal accessory,3,back brace,1,[12]
9,recreational,2,performance;material,1,[31]
2,automotive,2,performance;material,3,[27; 28; 29]
8,appliances,0,material;strength,2,[18; 19]
6,renewable energy,0,material;strength,1,[15]
1,consumer product,4,smart windows,1,[17]
10,electronics applications,0,material;strength,2,[39; 40]
9,recreational,0,material;strength,5,[22; 23; 24; 25; 26]
2,automotive,0,material;strength,1,[20]
0,home appliances,4,smart windows,1,[21]
4,aerospace & aeronautical,2,performance;material,1,[14]
9,recreational,1,glasses;shade,1,[30]
5,renewable energy/consumer product,1,glasses;shade,1,[13]
1,consumer product,1,glasses;shade,7,[32; 33; 34; 35; 36; 37; 38]
4,aerospace & aeronautical,0,material;strength,1,[1]
