Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
7,medical,3,robot;humanoid,1,[43]
1,consumer/education,3,robot;humanoid,2,[37; 38]
6,industry/consumer,6,robot;job,1,[47]
3,education,0,,1,[14]
7,medical,7,robot;nurses,1,[17]
0,consumer,10,arm;robot,2,[15; 16]
3,education,7,robot;nurses,1,[60]
0,consumer,3,robot;humanoid,1,[61]
4,industry,0,,1,[24]
9,medical/industry,0,,1,[1]
4,industry,9,robots;robot,1,[11]
5,consumer/medical,5,robot,1,[7]
4,industry,4,robot;picture,1,[8]
0,consumer,11,robot;meat,3,[50; 51; 52]
2,organization,2,robot;customers,3,[25; 26; 27]
1,consumer/education,10,arm;robot,1,[41]
10,industry/engineer,0,,1,[34]
1,consumer/education,1,robot;robots,3,[54; 55; 56]
4,industry,10,arm;robot,1,[44]
0,consumer,0,,5,[2; 20; 28; 39; 49]
0,consumer,4,robot;picture,2,[5; 6]
11,consumer; organization,0,,1,[48]
0,consumer,5,robot,1,[40]
4,industry,2,robot;customers,2,[35; 36]
1,consumer/education,0,,1,[9]
0,consumer,8,robot;pet,2,[58; 59]
3,education,3,robot;humanoid,2,[29; 30]
0,consumer,1,robot;robots,3,[31; 32; 33]
7,medical,0,,3,[21; 23; 42]
12,agriculture,0,,1,[57]
3,education,1,robot;robots,2,[3; 4]
0,consumer,2,robot;customers,2,[45; 46]
0,consumer,6,robot;job,1,[12]
8,consumer/education/medical,8,robot;pet,1,[53]
4,industry,3,robot;humanoid,1,[22]
0,consumer,9,robots;robot,1,[10]
3,education,4,robot;picture,1,[13]
2,organization,4,robot;picture,2,[18; 19]
